Client_Num,Customer_Age,Gender,Education_Level,Marital_Status,state_cd,Customer_Job,Income,Cust_Satisfaction_Score
963607849,42,F,Uneducated,Married,CA,Govt,30574,1
932954954,62,F,High School,Unknown,NY,Selfemployeed,57679,2
961650885,47,F,Doctorate,Married,NJ,Blue-collar,152263,1
917695309,49,M,Graduate,Married,TX,Businessman,43653,4
957309271,53,F,Graduate,Married,NY,Selfemployeed,47883,2
967838008,47,F,Post-Graduate,Single,TX,Selfemployeed,52038,1
953057861,42,F,High School,Married,CA,White-collar,75239,3
945043270,40,F,Graduate,Married,FL,Businessman,32035,5
947028265,45,F,Graduate,Married,TX,Retirees,40270,3
949911663,54,F,Uneducated,Married,CA,Businessman,55396,4
943996401,51,F,Doctorate,Married,NV,Selfemployeed,194975,5
929315398,31,M,Graduate,Single,CA,Selfemployeed,45468,5
943593234,37,M,Graduate,Married,FL,Businessman,107421,5
934327500,60,F,Graduate,Single,NY,Selfemployeed,38459,4
911454729,46,F,Graduate,Single,CA,Businessman,55057,4
935287245,42,M,Graduate,Single,TX,Govt,58212,5
961848959,54,F,High School,Single,CA,Selfemployeed,26354,4
947702871,34,M,High School,Married,MN,Blue-collar,70156,5
922362219,49,F,Unknown,Single,TX,Govt,30752,5
924088631,43,F,High School,Unknown,CA,White-collar,58333,1
950336899,47,F,Uneducated,Unknown,TX,Govt,16492,2
925516289,39,F,Graduate,Unknown,TX,Selfemployeed,14975,1
943430295,51,M,Unknown,Married,FL,Retirees,68986,4
915913364,41,F,Post-Graduate,Married,CA,Blue-collar,13212,2
966969386,43,F,Graduate,Married,TX,Selfemployeed,32183,1
913497216,47,F,Graduate,Single,FL,White-collar,31045,3
956347577,64,F,High School,Single,NY,Selfemployeed,14198,4
953007255,59,F,High School,Single,TX,Selfemployeed,32287,5
955406656,46,M,Graduate,Single,NJ,White-collar,125955,5
947484249,47,M,Unknown,Single,FL,Blue-collar,84114,5
941380773,64,M,Graduate,Married,FL,Blue-collar,29987,3
931132980,53,M,Graduate,Married,CA,Selfemployeed,84494,5
917790215,53,M,High School,Single,NY,Businessman,63867,4
956622169,42,F,Unknown,Married,CA,Selfemployeed,14975,5
951838000,53,F,Uneducated,Single,CA,Retirees,25214,1
945116424,54,M,Graduate,Married,TX,Businessman,169176,2
968501827,54,M,High School,Married,NJ,Govt,66027,1
931999941,44,M,Doctorate,Single,IL,Retirees,64739,4
941573611,33,F,Graduate,Single,NJ,Selfemployeed,55187,2
916963751,47,M,Uneducated,Unknown,UT,Selfemployeed,14975,1
918786049,64,M,Doctorate,Married,UT,Blue-collar,49664,5
913812366,33,F,Uneducated,Unknown,CA,Retirees,36705,3
915143266,42,F,Graduate,Married,CA,Selfemployeed,12937,4
930291935,61,F,High School,Single,CA,Govt,34941,4
915205717,46,M,High School,Single,TX,Blue-collar,25619,5
958819124,39,F,Uneducated,Single,NJ,Retirees,22287,5
952357833,47,F,Graduate,Married,CA,Govt,36074,4
916571137,49,F,Unknown,Single,TX,Selfemployeed,21265,4
949434569,65,F,Unknown,Married,NJ,Selfemployeed,162150,4
932064980,51,F,Post-Graduate,Married,NY,Selfemployeed,181224,4
945888653,48,M,Uneducated,Single,NY,White-collar,131235,3
966959006,45,F,Graduate,Single,CA,Blue-collar,13394,5
940222172,28,M,High School,Single,TX,Selfemployeed,25098,4
945679996,49,F,Graduate,Single,TX,Selfemployeed,2565,5
943617000,42,M,High School,Married,NY,Govt,87966,1
915597750,42,M,Graduate,Married,NJ,Blue-collar,116339,2
922338165,31,F,Post-Graduate,Single,TX,Retirees,59168,1
960285137,44,F,High School,Single,FL,White-collar,37853,4
925267022,55,M,Doctorate,Married,SC,Businessman,69577,2
911841712,56,F,Graduate,Single,CA,Selfemployeed,188250,1
964700464,55,M,Graduate,Single,FL,White-collar,141448,4
936122170,38,F,Graduate,Single,FL,Blue-collar,16053,5
923514448,44,M,Graduate,Married,TX,Businessman,91373,5
926012720,34,F,Graduate,Single,UT,Selfemployeed,14196,5
941519974,45,F,Uneducated,Single,TX,Selfemployeed,14975,5
916567210,43,M,High School,Single,TX,Businessman,61205,4
944464634,35,M,Unknown,Married,CA,Businessman,214273,5
952224747,50,F,Graduate,Married,CA,Selfemployeed,14975,5
925793959,43,F,Graduate,Married,CA,Selfemployeed,31499,5
967293518,36,M,Graduate,Unknown,CT,Businessman,90657,4
955565234,56,F,High School,Married,WA,Selfemployeed,19250,5
918805142,42,F,High School,Single,CA,Govt,33147,4
925079819,54,F,Uneducated,Single,NY,Govt,19367,3
